coordinate_px,wavelength_nm,level,intensity,raw_intensity_w
507.0,780.8333449022488,400,0.001600900526239435,1.1431740094159997e-07
507.0,780.8333449022488,410,6.325567928531997e-05,4.516973248599996e-09
507.0,780.8333449022488,420,9.962786832305295e-05,7.114245252199992e-09
507.0,780.8333449022488,430,0.003639438839003467,2.5988572190559995e-07
507.0,780.8333449022488,440,0.0033510843159682323,2.392948487796e-07
507.0,780.8333449022488,450,0.0067392810978598415,4.812398313916001e-07
507.0,780.8333449022488,460,0.013430142705829526,9.590221148915998e-07
507.0,780.8333449022488,470,0.020681171414824763,1.4768049143716002e-06
507.0,780.8333449022488,480,0.026947398797730233,1.9242648385716e-06
507.0,780.8333449022488,490,0.03883200966944005,2.7729233303316e-06
507.0,780.8333449022488,500,0.048457082944671055,3.4602323433916003e-06
507.0,780.8333449022488,510,0.059806879948182096,4.270700747511599e-06
507.0,780.8333449022488,520,0.07016886738166042,5.010631463111599e-06
507.0,780.8333449022488,530,0.08185321975694805,5.8449898591116005e-06
507.0,780.8333449022488,540,0.0984266529793158,7.0284686447116e-06
507.0,780.8333449022488,550,0.1138139602638516,8.1272483299116e-06
507.0,780.8333449022488,560,0.13448471167750117,9.603309170911599e-06
507.0,780.8333449022488,570,0.15620389519458214,1.1154236645511597e-05
507.0,780.8333449022488,580,0.17257620074789717,1.23233532693116e-05
507.0,780.8333449022488,590,0.19926208421692884,1.4228943772911599e-05
507.0,780.8333449022488,600,0.22200301700549357,1.58528325085116e-05
507.0,780.8333449022488,610,0.2359041922702545,1.68454902035116e-05
507.0,780.8333449022488,620,0.2616994963554032,1.86874860497116e-05
507.0,780.8333449022488,630,0.2855373176421401,2.03897016021116e-05
507.0,780.8333449022488,640,0.3061272596779832,2.1859991992111598e-05
507.0,780.8333449022488,650,0.3224631109760884,2.30265054837116e-05
507.0,780.8333449022488,660,0.35595161515045637,2.54178587851116e-05
507.0,780.8333449022488,670,0.36727335439672226,2.62263236357116e-05
507.0,780.8333449022488,680,0.39397341967138344,2.81329268363116e-05
507.0,780.8333449022488,690,0.41677109035911325,2.9760867122311596e-05
507.0,780.8333449022488,700,0.44533688735350874,3.1800698838711604e-05
507.0,780.8333449022488,710,0.4549107844749124,3.24843534555116e-05
507.0,780.8333449022488,720,0.47917759795632175,3.42172025619116e-05
507.0,780.8333449022488,730,0.48978037937721774,3.4974327939111604e-05
507.0,780.8333449022488,740,0.5146162928546704,3.67478154433116e-05
507.0,780.8333449022488,750,0.5273159790436057,3.76546769841116e-05
507.0,780.8333449022488,760,0.5403359070563677,3.85844064123116e-05
507.0,780.8333449022488,770,0.5515725048808183,3.93867914685116e-05
507.0,780.8333449022488,780,0.5708698325811735,4.0764778614911604e-05
507.0,780.8333449022488,790,0.5836135997504626,4.1674787898511606e-05
507.0,780.8333449022488,800,0.5905197145020369,4.21679410183116e-05
